STT,Mã MH,Tên môn học,TC,Khoa/BM quản lý,Khoa/BM đang sử dụng,Mã MH,Tên môn học tương đương,TC,Khoa/BM quản lý,Ghi chú
46,217407,CN vật liệu & cao su,3,CN HÓA HỌC,,217417,Công nghệ chế biến cao su,3,CN HÓA HỌC,
47,217602,Kỹ thuật hệ thống sinh học,3,CN HÓA HỌC,,217610,Kỹ thuật nhiên liệu sinh học,2,CN HÓA HỌC,
48,211107,Công nghệ SH đại cương,2,CN SINH HỌC,,211301,Công nghệ SH đại cương,2,CN SINH HỌC,Chỉ áp dụng cho SV Bộ môn CNSH
49,202403,Đa dạng sinh học,2,KHOA HỌC,CN SINH HOC,211134,Đa dạng và bảo tồn gen,2,CN SINH HỌC,Chỉ áp dụng cho chương trình liên thông ngành CNSH
50,203203,Di truyền học đại cương,3,CN THÚ Y,CN SINH HOC,211215,Di truyền phân tử,3,CN SINH HỌC,Chỉ áp dụng cho SV Bộ môn CNSH (khóa 2013 trở về trước)
51,203104,Sinh hoá đại cương,3,CN THÚ Y,CN SINH HOC,211214,Sinh hóa học,3,CN SINH HOC,Chỉ áp dụng cho SV CNSH khóa 2013 trờ về trước
52,211122,Sinh thái học cơ bản,2,CN SINH HOC,,212104,Sinh thái hoc mỗi trướng,2,CN SINH HOC,Chỉ áp dụng cho SV chuyên ngành CNSH Môi trường từ khóa 2013 trở về trước
53,211416,Đánh giá ô nhiêm,2,CN SINH HOC,,211319,Đánh giá ô nhiễm Môi trườnq,2,CN SINH HOC,Chỉ áp dụng cho sv BM CNSH (khóa 2013 trở về trước)
54,211417,Thực tâp đánh giá ô nhiễm,1,CN SINH HOC,,211322,Thực hành đánh giá ô nhiễm MT,1,CN SINH HOC,Chỉ áp dụng cho SV BM CNSH (khóa 2013trở về trước)
55,211512,Kiểm nghiêm vi sinh thực phẩm,2,CN SINH HOC,,211518,Kiểm nghiêm vi sinh,2,CNSINH HOC,Chỉ áp dụng cho SV BM CNSH (khóa 2013 trở về trước)
56,203511,Miễn dịch học đại cương,3,CN THÚ Y,CNSINHHOC,211218,Miễn dich học đai cươnq,3,CN SINH HOC,Chỉ áp dụng cho SV BM CNSH (khóa 2013 trở về trước)
57,212109,Quản lý tài nguyên thiên nhiên,2,MỒI TRƯỜNG & TN,CN SINH HOC,211324,Quản lý tài nguyên môi trường,2,CNSINH HOC,Chỉ áp dụng cho SV BM CNSH (khóa 2013 trở về trước)
58,211131,Hóa độc chất môi trường,3,CN SINH HOC,,211308,Hóa và độc học môi trường,3,CN SINH HOC,Chỉ áp dụng cho SV BM CNSH (khóa 2013 trờ về trước)
59,211132,Thực hành hóa Độc chất MT,1,CN SINH HOC,,211323,Thực hành hóa & độc học MT,1,CN SINH HỌC,Chỉ áp dụng cho SV BM CNSH (khóa 2013 trở về trước)
60,205610,Công nghệ bảo quản gỗ,2,LÂM NGHIỆP,,205542,Công nghệ bảo quản gỗ,2,LÂM NGHIỆP,
61,205813,Dự toán công trình nội thất,2,LÂM NGHIỆP,,205824,Dự toán công trình nội thất,2,LÂM NGHIỆP,
62,204205,Chọn giống cây trồng,2,NÔNG HỌC,MÔI TRƯỜNG & TN,216108,"Chọn, tạo giống cây hoa cảnh",2,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
63,202403,Đa dạng sinh học,2,KHOA HỌC,MÔI TRƯỜNG & TN,216109,Đa dạng sinh học và bảo tồn CQ,2,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
64,202412,Sinh thái học,2,KHOA HỌC,MÔI TRƯỜNG & TN,216107,Cơ sở sinh thái học,2,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
65,208438,Quản trị dự án,2,KINH TẾ,MÔI TRƯỜNG & TN,216308,Quản lý dự án cảnh quan,2,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
66,204606,Khí tượng đại cương,2,NÔNG HỌC,MÔI TRƯỜNG & TN,216202,Khí tượng học,2,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
67,216103,Giá thể và DD cây trồng,3,MÔI TRƯỜNG & TN,MÔI TRƯỜNG & TN,204303,Khoa học đất cơ bản,3,NÔNG HỌC,Chỉ áp dụng cho SV khoa MTTN
68,216103,Giá thể và DD cây trồng,3,MÔI TRƯỜNG & TN,MÔI TRƯỜNG & TN,204301,Độ phì và phân bón,3,NÔNG HỌC,Chỉ áp dụng cho SV khoa MTTN
69,216113,Sâu bệnh hại hoa kiểng,2,MÔI TRƯỜNG & TN,MÔI TRƯỜNG & TN,204707,Côn trùng cơ bản,2,NÔNG HỌC,Chỉ áp dụng cho SV khoa MTTN
70,204715,Bệnh cây đại cương,3,NÔNG HỌC,MÔI TRƯỜNG & TN,216110,Quản lý sâu bệnh và cây trồng,3,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
71,216318,UD tr.học Đ.phương trong TKCQ,2,MÔI TRƯỜNG & TN,,216320,Phong thủy sân vườn,2,MÔI TRƯỜNG & TN,Chỉ áp dụng cho SV khoa MTTN
72,208114,Luật kinh tế,2,KINH TẾ,,208133,Luật tài chính kế toán,2,KINH TẾ,Chỉ áp dụng cho SV ngành Quản trị tài chính
73,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,208499,Khóa luận TN ngành QT,10,KINH TẾ,
74,208529,Kiến tập chuyên ngành PT,2,KINH TẾ,,206153,Kiến tập chuyên ngành KT & KDMN,2,KINH TẾ,Chỉ áp dụng cho SV ngành kinh doanh NN và chuyên ngành Kinh tế Nông lâm
75,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,208197,Khóa luận TN ngành KT & KDNN,10,KINH TẾ,
76,208444,Marketing nông nghiệp,2,KINH TẾ,,208445,Marketing nông nghiệp,2,KINH TẾ,
77,208816,Tiếng anh chuyên ngành,3,KINH TẾ,,208152,Tiếng Anh chuyên ngành kinh tế,3,KINH TẾ,
78,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,208699,Khoá luận TN ngành KTTNMT,10,KINH TẾ,
79,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,208399,Khoá luận TN ngành Kế tóan,10,KINH TẾ,
80,208403,Phương pháp NCKH Quản trị,2,KINH TẾ,,208151,PP nghiên cứu KH kinh tế,2,KINH TẾ,Chỉ áp dụng cho SV ngành Kinh tế nông lâm. Phát triển nông thôn
81,208621,Phương pháp NCKH TN_MT,2,KINH TẾ,,208151,PP nghiên cứu KH kinh tế,2,KINH TẾ,Chỉ áp dụng cho SV ngành Kinh tế tài nguyên môi trường
82,208468,Phương pháp nguyên cứu KH,2,KINH TẾ,,208403,Phương pháp NCKH Quản trị,2,KINH TẾ,Chỉ áp dụng cho SV ngành kế toán 
83,205221,Kinh tế tài nguyên môi trường,3,LÂM NGHIỆP,,208627,Kinh tế tài nguyên MT căn bản,3,KINH TẾ,Chỉ áp dụng cho SV chuyên ngành Kinh tế tài nguyên môi trường
84,208349,Ngoại ngữ chuyên ngành,3,KINH TẾ,,208475,Tiếng Anh CN quản trị,3,KINH TẾ,
85,209509,Phong thủy ứng dụng,3,QUẢN LÝ ĐO & BĐS,,208208,Phong thủy ứng dụng,3,KINH TẾ,
86,208223,Kinh tế lượng ứng dụng,2,KINH TẾ,,208226,Kinh tế lượng ứng dụng,2,KINH TẾ,
87,208518,Hệ thống thông tin địa lý,3,KINH TẾ,,208530,ƯP hệ thống thông tin địa lý,3,KINH TẾ,
